mr:hasDuration	P2047
mr:hasMovieID	P345
mr:hasReleaseDate	P577
mr:starsActor	P161
mr:starsActor	P725
mr:hasTitle	P1476
mr:producedBy	P272
mr:writtenBy	P58
mr:directedBy	P57
